Name:,"Beem-Miller, Jeff",,
Contents:,9 density separated soil oPOM samples,,
Date submitted:,20.01.2022,,
,,,
ID_Number,ID,Project,BGC Group
2,2_GRrf_comp_2019_10-20_OPOM,Sierra Nevada Soil C,AG Schrumpf
3,3_GRrf_comp_2019_20-30_OPOM,Sierra Nevada Soil C,AG Schrumpf
4,4_GRwf_comp_2019_0-10_OPOM,Sierra Nevada Soil C,AG Schrumpf
5,5_GRwf_comp_2019_10-20_OPOM,Sierra Nevada Soil C,AG Schrumpf
6,6_GRwf_comp_2019_20-30_OPOM,Sierra Nevada Soil C,AG Schrumpf
7,7_GRpp_comp_2019_0-10_OPOM,Sierra Nevada Soil C,AG Schrumpf
8,8_GRpp_comp_2019_10-20_OPOM,Sierra Nevada Soil C,AG Schrumpf
9,9_GRpp_comp_2019_20-30_OPOM,Sierra Nevada Soil C,AG Schrumpf
29,29_GRrf_comp_2019_8-27_OPOM,Sierra Nevada Soil C,AG Schrumpf
