date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
,70,42.65956533,147.3333333,167,42.65956533,106.2758798
,72,44.52831533,191,194,44.52831533,118.8855675
,73,45.9577271,63,63,45.9577271,117.3634875
,76,47.2296021,43,43,47.2296021,88.28088615
,79,48.54626876,29,29,48.54626876,43.10348081
,81,49.58912591,21,21,49.58912591,17.17364527
,83,50.72818841,18,18,50.72818841,3.785552181
,84,51.54666667,17,17,51.54666667,3.875460732
,85,50.61666667,19,19,50.61666667,7.768621778
,86,46.06666667,22,22,46.06666667,14.16335334
,88,40.65,25,25,40.65,29.25080006
,89,33.05,28,28,33.05,35.34015126
,90,31.9,31,31,31.9,39.03644404
,91,31.75,34,34,31.75,40.59849144
,92,32.3,36,36,32.3,40.59720548
,94,33.2,38,38,33.2,38.18828166
,95,34.225,39,39,34.225,36.92246786
,96,35.3125,40,40,35.3125,36.26263865
,97,36.3625,40,40,36.3625,36.20805509
,98,37.3125,40,40,37.3125,36.64364803
,99,38.2125,39,39,38.2125,37.45434835
,100,39.1125,39,39,39.1125,38.52508689
,101,39.9625,40,40,39.9625,39.74079454
,102,40.7875,40,40,40.7875,40.98783126
,103,41.6125,40,40,41.6125,42.15827352
,104,42.37916667,39,39,42.37916667,43.14562693
,108,43.20416667,38.5,38.5,43.20416667,43.13426375
,109,44.1375,38.75,39,44.1375,41.60875671
,110,45.3875,40,40,45.3875,39.43608132
,111,47.0375,41,41,47.0375,37.38417801
,112,52.1075,43,43,52.1075,36.39587419
,113,56.7075,46,46,56.7075,37.41399726
,114,60.34083333,48,48,60.34083333,41.38137461
,115,69.31451754,50.5,50.5,69.31451754,48.73328199
,116,77.46737469,52.5,52.5,77.46737469,57.87478851
,117,96.16737469,53.33333333,53,96.16737469,66.70341159
,118,117.4298747,55.5,55.5,117.4298747,73.11666868
,119,145.9923747,58.66666667,59,145.9923747,75.01207723
,120,175.528089,65,65,175.528089,71.84448961
,121,207.649964,73,73,207.649964,69.29809803
,122,241.899964,140.4,84,241.899964,74.61442966
,123,275.999964,131,101,275.999964,95.03501166
,124,309.999964,112.6666667,113,309.999964,137.8013712
,125,343.824964,219.4736842,127,343.824964,207.2043023
,126,377.424964,203.0571429,188,377.424964,295.7316673
,127,410.5916306,413,413,410.5916306,392.9205953
,128,443.0666306,463.75,460.5,443.0666306,488.3082153
,129,475.1832973,610,586,475.1832973,571.4316566
,130,507.2832973,630.7142857,617,507.2832973,634.1296736
,131,545.4082973,683.4375,690,545.4082973,677.4475222
,133,576.5882973,728,728,576.5882973,719.3302385
,135,612.3820473,728,728,612.3820473,723.8548552
,136,657.558714,728,728,657.558714,720.475079
,137,693.1600298,727,727,693.1600298,717.7964214
,138,726.2043948,724.5,724.5,726.2043948,718.5477347
,139,761.0543948,716.6666667,717,761.0543948,722.9857558
,140,790.2168948,705,705,790.2168948,730.7491929
,141,819.2293948,701,701,819.2293948,741.4767541
,142,851.5686806,707,707,851.5686806,754.8071474
