date_time,temp,CO2_scaled,CO2_av,CO2_med,Moving,Modelled
1:00:01 AM,67,47.8421749084249,143,143,47.8421749084249,113.765412350465
1:00:04 AM,70,47.6171749084249,122,122,47.6171749084249,135.811941715665
1:00:07 AM,73,49.3921749084249,100,100,49.3921749084249,103.49721678558
1:00:10 AM,74,53.0271749084249,79,79,53.0271749084249,87.3155550488729
1:00:13 AM,76,56.6925595238095,58,58,56.6925595238095,55.4130625426488
1:00:16 AM,78,60.1029761904762,39,39,60.1029761904762,33.6538570006879
1:00:19 AM,79,62.3154761904762,29,29,62.3154761904762,29.7255630516349
1:00:22 AM,80,65.7208333333333,34,34,65.7208333333333,30.066625891203
1:00:25 AM,81,69,39,39,69,33.5519268645446
1:00:28 AM,83,66.225,43,43,66.225,45.4547685931574
1:00:31 AM,84,62.525,48.5,48.5,62.525,51.6220720387335
1:00:34 AM,85,59.675,55,55,59.675,56.6534354972067
1:00:37 AM,86,57.775,59,59,57.775,60.5252228063004
1:00:40 AM,87,56.725,62,62,56.725,63.434094302252
1:00:43 AM,88,56.6,65,65,56.6,65.576710321299
1:00:46 AM,89,57.5,67,67,57.5,67.149731199679
1:00:49 AM,90,58.85,70,70,58.85,68.3049529881122
1:00:52 AM,91,59.8,71,71,59.8,69.0147145952502
1:00:55 AM,92,60.45,71,71,60.45,69.2064906442272
1:00:58 AM,93,60.9,70,70,60.9,68.8077557581776
1:01:01 AM,94,61.125,69,69,61.125,67.7459845602357
1:01:04 AM,95,61.075,65,65,61.075,65.9977747728186
1:01:07 AM,96,60.925,62,62,60.925,63.7362165154742
1:01:10 AM,97,60.725,58,59,60.725,61.1835230070332
1:01:13 AM,98,60.55,55.5,55.5,60.55,58.5619074663264
1:01:16 AM,99,60.45,57,57,60.45,56.0935831121845
1:01:19 AM,100,60.3,56,56,60.3,53.9673926788128
1:01:22 AM,101,60.15,53,53,60.15,52.2386969619145
1:01:25 AM,103,60.1,52,52,60.1,50.0617509218498
1:01:28 AM,106,60.3,52,52,60.3,50.3273000122502
1:01:31 AM,108,60.75,53,53,60.75,53.1148651354237
1:01:34 AM,109,61.625,54,54,61.625,55.3076661435963
1:01:37 AM,110,62.925,56,56,62.925,57.7952014348249
1:01:40 AM,111,64.8,58,58,64.8,60.2987880870692
1:01:43 AM,112,67.275,61.5,61.5,67.275,62.5397431782889
1:01:46 AM,113,70.4625,65,65,70.4625,64.2393837864437
1:01:49 AM,114,74.5125,67,67,74.5125,65.2970988532492
1:01:52 AM,115,79.2875,68,68,79.2875,66.3245647754451
1:01:55 AM,116,84.7625,70,70,84.7625,68.1115298135268
1:01:58 AM,117,90.9125,74,74,90.9125,71.4477422279899
1:02:01 AM,118,98.1225,78,78,98.1225,76.8921023817265
1:02:04 AM,119,107.0825,82.5,82.5,107.0825,84.0801190472153
1:02:07 AM,120,117.415833333333,88,88,117.415833333333,92.4164530993317
1:02:10 AM,121,131.371388888889,95.5,95.5,131.371388888889,101.305765412951
1:02:13 AM,122,145.213055555556,105,105,145.213055555556,110.152716862949
1:02:16 AM,123,161.541626984127,120.75,120.5,161.541626984127,118.72534286026
1:02:19 AM,124,176.963366114562,137,137,176.963366114562,128.24517696006
1:02:22 AM,125,196.063366114562,148.5,148.5,196.063366114562,140.297127253582
1:02:25 AM,126,215.438366114562,161.5,161.5,215.438366114562,156.466101832062
1:02:28 AM,127,235.013366114562,175,175,235.013366114562,178.337008786733
1:02:31 AM,128,254.613366114562,197.2,197,254.613366114562,206.820681246647
1:02:34 AM,129,274.138366114562,233.2,233,274.138366114562,240.131652492113
1:02:37 AM,130,293.438366114562,262.666666666667,263,293.438366114562,275.81038084126
1:02:40 AM,131,312.413366114562,337.111111111111,294,312.413366114562,311.397324612215
1:02:43 AM,132,330.863366114562,338.333333333333,312,330.863366114562,344.432942123103
